epoch,avg_loss,accuracy
1,2.46727850,0.550562
2,2.08642186,0.674157
3,1.79177572,0.674157
4,1.56967713,0.685393
5,1.40035276,0.685393
6,1.26906023,0.685393
7,1.16573841,0.685393
8,1.08334738,0.685393
9,1.01687216,0.685393
10,0.96268127,0.707865
11,0.91809226,0.685393
12,0.88108503,0.685393
13,0.85011473,0.685393
14,0.82398696,0.685393
15,0.80177105,0.685393
16,0.78273732,0.685393
17,0.76631050,0.685393
18,0.75203448,0.685393
19,0.73954553,0.685393
20,0.72855182,0.685393
21,0.71881768,0.685393
22,0.71015162,0.685393
23,0.70239697,0.685393
24,0.69542476,0.685393
25,0.68912813,0.685393
26,0.68341801,0.685393
27,0.67821968,0.685393
28,0.67347014,0.685393
29,0.66911595,0.685393
30,0.66511156,0.685393
31,0.66141793,0.685393
32,0.65800145,0.685393
33,0.65483306,0.685393
34,0.65188751,0.685393
35,0.64914277,0.685393
36,0.64657957,0.685393
37,0.64418096,0.685393
38,0.64193199,0.685393
39,0.63981943,0.685393
40,0.63783154,0.685393
41,0.63595784,0.685393
42,0.63418900,0.685393
43,0.63251664,0.685393
44,0.63093325,0.685393
45,0.62943205,0.685393
46,0.62800694,0.685393
47,0.62665237,0.685393
48,0.62536334,0.685393
49,0.62413529,0.685393
50,0.62296407,0.685393
